10:46:39.191 [main] INFO  com.polestar.ndcrefill.Main - starting app
10:46:39.528 [main] INFO  com.polestar.ndcrefill.Main - ShipPosition Generator Value: 8783
10:46:39.570 [main] INFO  com.polestar.ndcrefill.Main - max ship position id is: 439143 Current shipPositionID: 440000
10:46:39.571 [main] INFO  com.polestar.ndcrefill.FileService - starting to process file
10:46:39.944 [main] INFO  com.polestar.ndcrefill.FileService - Positions count: 775
10:46:39.944 [main] INFO  com.polestar.ndcrefill.Main - Start: 2022-06-09 10:46:39.944
10:46:39.954 [main] DEBUG com.polestar.ndcrefill.Main - {"creation_date":"2022-06-05","creation_time":"18:04:28","trail_date":"2022-06-05","trail_time":"18:00:00","trail_latitude":"37.47933333","trail_longitude":"4.287333333","trail_speed":"14.6","trail_heading":"256","i_m_o_number":"9537044","DC_ID":"1002"}
10:46:39.956 [main] DEBUG com.polestar.ndcrefill.Main - {"creation_date":"2022-06-05","creation_time":"12:04:25","trail_date":"2022-06-05","trail_time":"12:00:00","trail_latitude":"37.828","trail_longitude":"6.099333333","trail_speed":"15.2","trail_heading":"257","i_m_o_number":"9537044","DC_ID":"1002"}
10:46:39.957 [main] DEBUG com.polestar.ndcrefill.Main - {"creation_date":"2022-06-05","creation_time":"06:04:39","trail_date":"2022-06-05","trail_time":"06:00:00","trail_latitude":"38.18133333","trail_longitude":"7.936666667","trail_speed":"14.4","trail_heading":"255","i_m_o_number":"9537044","DC_ID":"1002"}
10:46:39.958 [main] DEBUG com.polestar.ndcrefill.Main - {"creation_date":"2022-06-05","creation_time":"00:04:20","trail_date":"2022-06-05","trail_time":"00:00:00","trail_latitude":"38.53266667","trail_longitude":"9.731333333","trail_speed":"14.8","trail_heading":"256","i_m_o_number":"9537044","DC_ID":"1002"}
10:46:39.959 [main] DEBUG com.polestar.ndcrefill.Main - {"creation_date":"2022-06-04","creation_time":"18:04:39","trail_date":"2022-06-04","trail_time":"18:00:00","trail_latitude":"39.26533333","trail_longitude":"11.362","trail_speed":"15","trail_heading":"239","i_m_o_number":"9537044","DC_ID":"1002"}
10:46:39.960 [main] DEBUG com.polestar.ndcrefill.Main - {"creation_date":"2022-06-04","creation_time":"12:04:46","trail_date":"2022-06-04","trail_time":"12:00:00","trail_latitude":"40.07466667","trail_longitude":"12.96066667","trail_speed":"15","trail_heading":"236","i_m_o_number":"9537044","DC_ID":"1002"}
10:46:39.961 [main] DEBUG com.polestar.ndcrefill.Main - {"creation_date":"2022-06-04","creation_time":"06:04:28","trail_date":"2022-06-04","trail_time":"06:00:00","trail_latitude":"40.83733333","trail_longitude":"14.29333333","trail_speed":"0","trail_heading":"310","i_m_o_number":"9537044","DC_ID":"1002"}
10:46:39.962 [main] DEBUG com.polestar.ndcrefill.Main - {"creation_date":"2022-06-04","creation_time":"00:04:39","trail_date":"2022-06-04","trail_time":"00:00:00","trail_latitude":"40.83733333","trail_longitude":"14.29333333","trail_speed":"0","trail_heading":"310","i_m_o_number":"9537044","DC_ID":"1002"}
10:46:39.963 [main] DEBUG com.polestar.ndcrefill.Main - {"creation_date":"2022-06-03","creation_time":"18:04:40","trail_date":"2022-06-03","trail_time":"18:00:00","trail_latitude":"40.83733333","trail_longitude":"14.29333333","trail_speed":"0","trail_heading":"310","i_m_o_number":"9537044","DC_ID":"1002"}
10:46:39.964 [main] DEBUG com.polestar.ndcrefill.Main - {"creation_date":"2022-06-03","creation_time":"12:04:44","trail_date":"2022-06-03","trail_time":"12:00:00","trail_latitude":"40.83733333","trail_longitude":"14.29333333","trail_speed":"0","trail_heading":"310","i_m_o_number":"9537044","DC_ID":"1002"}
10:46:39.964 [main] DEBUG com.polestar.ndcrefill.Main - {"creation_date":"2022-06-03","creation_time":"06:04:42","trail_date":"2022-06-03","trail_time":"06:00:00","trail_latitude":"40.83733333","trail_longitude":"14.29333333","trail_speed":"0","trail_heading":"310","i_m_o_number":"9537044","DC_ID":"1002"}
10:46:39.965 [main] DEBUG com.polestar.ndcrefill.Main - {"creation_date":"2022-06-03","creation_time":"00:09:59","trail_date":"2022-06-03","trail_time":"00:00:00","trail_latitude":"40.83733333","trail_longitude":"14.29333333","trail_speed":"0","trail_heading":"310","i_m_o_number":"9537044","DC_ID":"1002"}
10:46:39.966 [main] DEBUG com.polestar.ndcrefill.Main - {"creation_date":"2022-06-02","creation_time":"18:04:24","trail_date":"2022-06-02","trail_time":"18:00:00","trail_latitude":"40.83733333","trail_longitude":"14.29333333","trail_speed":"0","trail_heading":"310","i_m_o_number":"9537044","DC_ID":"1002"}
10:46:39.967 [main] DEBUG com.polestar.ndcrefill.Main - {"creation_date":"2022-06-02","creation_time":"12:04:21","trail_date":"2022-06-02","trail_time":"12:00:00","trail_latitude":"40.83733333","trail_longitude":"14.29333333","trail_speed":"0","trail_heading":"310","i_m_o_number":"9537044","DC_ID":"1002"}
10:46:39.968 [main] DEBUG com.polestar.ndcrefill.Main - {"creation_date":"2022-06-02","creation_time":"06:04:54","trail_date":"2022-06-02","trail_time":"06:00:00","trail_latitude":"40.83733333","trail_longitude":"14.29333333","trail_speed":"0","trail_heading":"310","i_m_o_number":"9537044","DC_ID":"1002"}
10:46:39.968 [main] DEBUG com.polestar.ndcrefill.Main - {"creation_date":"2022-06-02","creation_time":"00:12:48","trail_date":"2022-06-02","trail_time":"00:00:00","trail_latitude":"40.83733333","trail_longitude":"14.29333333","trail_speed":"0","trail_heading":"310","i_m_o_number":"9537044","DC_ID":"1002"}
10:46:39.969 [main] DEBUG com.polestar.ndcrefill.Main - {"creation_date":"2022-06-05","creation_time":"18:51:06","trail_date":"2022-06-05","trail_time":"18:48:00","trail_latitude":"36.766","trail_longitude":"3.072","trail_speed":"0","trail_heading":"181","i_m_o_number":"9557783","DC_ID":"1002"}
10:46:39.970 [main] DEBUG com.polestar.ndcrefill.Main - {"creation_date":"2022-06-05","creation_time":"12:51:04","trail_date":"2022-06-05","trail_time":"12:48:00","trail_latitude":"36.766","trail_longitude":"3.072","trail_speed":"0","trail_heading":"125","i_m_o_number":"9557783","DC_ID":"1002"}
10:46:39.971 [main] DEBUG com.polestar.ndcrefill.Main - {"creation_date":"2022-06-05","creation_time":"06:51:35","trail_date":"2022-06-05","trail_time":"06:48:00","trail_latitude":"36.766","trail_longitude":"3.072","trail_speed":"0","trail_heading":"59","i_m_o_number":"9557783","DC_ID":"1002"}
10:46:39.971 [main] DEBUG com.polestar.ndcrefill.Main - {"creation_date":"2022-06-05","creation_time":"00:51:08","trail_date":"2022-06-05","trail_time":"00:48:00","trail_latitude":"36.766","trail_longitude":"3.072","trail_speed":"0","trail_heading":"143","i_m_o_number":"9557783","DC_ID":"1002"}
10:46:39.972 [main] DEBUG com.polestar.ndcrefill.Main - {"creation_date":"2022-06-04","creation_time":"18:50:48","trail_date":"2022-06-04","trail_time":"18:48:00","trail_latitude":"36.766","trail_longitude":"3.072","trail_speed":"0","trail_heading":"194","i_m_o_number":"9557783","DC_ID":"1002"}
10:46:39.973 [main] DEBUG com.polestar.ndcrefill.Main - {"creation_date":"2022-06-04","creation_time":"12:51:16","trail_date":"2022-06-04","trail_time":"12:48:00","trail_latitude":"36.766","trail_longitude":"3.072","trail_speed":"0","trail_heading":"117","i_m_o_number":"9557783","DC_ID":"1002"}
10:46:39.974 [main] DEBUG com.polestar.ndcrefill.Main - {"creation_date":"2022-06-04","creation_time":"06:51:33","trail_date":"2022-06-04","trail_time":"06:48:00","trail_latitude":"36.766","trail_longitude":"3.072","trail_speed":"0","trail_heading":"149","i_m_o_number":"9557783","DC_ID":"1002"}
10:46:39.974 [main] DEBUG com.polestar.ndcrefill.Main - {"creation_date":"2022-06-04","creation_time":"00:54:30","trail_date":"2022-06-04","trail_time":"00:48:00","trail_latitude":"36.766","trail_longitude":"3.072","trail_speed":"0","trail_heading":"109","i_m_o_number":"9557783","DC_ID":"1002"}
10:46:39.975 [main] DEBUG com.polestar.ndcrefill.Main - {"creation_date":"2022-06-03","creation_time":"18:51:09","trail_date":"2022-06-03","trail_time":"18:48:00","trail_latitude":"36.766","trail_longitude":"3.072","trail_speed":"0","trail_heading":"179","i_m_o_number":"9557783","DC_ID":"1002"}
10:46:39.976 [main] DEBUG com.polestar.ndcrefill.Main - {"creation_date":"2022-06-03","creation_time":"12:51:03","trail_date":"2022-06-03","trail_time":"12:48:00","trail_latitude":"36.766","trail_longitude":"3.072","trail_speed":"0","trail_heading":"122","i_m_o_number":"9557783","DC_ID":"1002"}
10:46:39.977 [main] DEBUG com.polestar.ndcrefill.Main - {"creation_date":"2022-06-03","creation_time":"06:50:58","trail_date":"2022-06-03","trail_time":"06:48:00","trail_latitude":"36.766","trail_longitude":"3.072","trail_speed":"0","trail_heading":"118","i_m_o_number":"9557783","DC_ID":"1002"}
10:46:39.977 [main] DEBUG com.polestar.ndcrefill.Main - {"creation_date":"2022-06-03","creation_time":"00:51:12","trail_date":"2022-06-03","trail_time":"00:48:00","trail_latitude":"36.766","trail_longitude":"3.072","trail_speed":"0","trail_heading":"134","i_m_o_number":"9557783","DC_ID":"1002"}
10:46:39.978 [main] DEBUG com.polestar.ndcrefill.Main - {"creation_date":"2022-06-02","creation_time":"18:51:50","trail_date":"2022-06-02","trail_time":"18:48:00","trail_latitude":"36.766","trail_longitude":"3.072","trail_speed":"0","trail_heading":"189","i_m_o_number":"9557783","DC_ID":"1002"}
10:46:39.979 [main] DEBUG com.polestar.ndcrefill.Main - {"creation_date":"2022-06-02","creation_time":"12:51:24","trail_date":"2022-06-02","trail_time":"12:48:00","trail_latitude":"36.766","trail_longitude":"3.072","trail_speed":"0","trail_heading":"116","i_m_o_number":"9557783","DC_ID":"1002"}
10:46:39.979 [main] DEBUG com.polestar.ndcrefill.Main - {"creation_date":"2022-06-02","creation_time":"06:51:17","trail_date":"2022-06-02","trail_time":"06:48:00","trail_latitude":"36.766","trail_longitude":"3.072","trail_speed":"0","trail_heading":"109","i_m_o_number":"9557783","DC_ID":"1002"}
10:46:39.980 [main] DEBUG com.polestar.ndcrefill.Main - {"creation_date":"2022-06-02","creation_time":"00:50:55","trail_date":"2022-06-02","trail_time":"00:48:00","trail_latitude":"36.766","trail_longitude":"3.072","trail_speed":"0","trail_heading":"143","i_m_o_number":"9557783","DC_ID":"1002"}
10:46:39.980 [main] DEBUG com.polestar.ndcrefill.Main - {"creation_date":"2022-06-05","creation_time":"22:18:22","trail_date":"2022-06-05","trail_time":"22:16:00","trail_latitude":"36.88533333","trail_longitude":"6.944666667","trail_speed":"0","trail_heading":"49","i_m_o_number":"9809045","DC_ID":"1002"}
10:46:39.981 [main] DEBUG com.polestar.ndcrefill.Main - {"creation_date":"2022-06-05","creation_time":"16:18:14","trail_date":"2022-06-05","trail_time":"16:16:00","trail_latitude":"36.89666667","trail_longitude":"6.956666667","trail_speed":"4.4","trail_heading":"200","i_m_o_number":"9809045","DC_ID":"1002"}
10:46:39.982 [main] DEBUG com.polestar.ndcrefill.Main - {"creation_date":"2022-06-05","creation_time":"10:18:21","trail_date":"2022-06-05","trail_time":"10:16:00","trail_latitude":"37.15133333","trail_longitude":"5.714","trail_speed":"14.2","trail_heading":"86","i_m_o_number":"9809045","DC_ID":"1002"}
10:46:39.982 [main] DEBUG com.polestar.ndcrefill.Main - {"creation_date":"2022-06-05","creation_time":"04:18:15","trail_date":"2022-06-05","trail_time":"04:16:00","trail_latitude":"37.10066667","trail_longitude":"3.965333333","trail_speed":"14.6","trail_heading":"87","i_m_o_number":"9809045","DC_ID":"1002"}
10:46:39.983 [main] DEBUG com.polestar.ndcrefill.Main - {"creation_date":"2022-06-04","creation_time":"22:18:21","trail_date":"2022-06-04","trail_time":"22:16:00","trail_latitude":"36.77","trail_longitude":"3.104","trail_speed":"0","trail_heading":"120","i_m_o_number":"9809045","DC_ID":"1002"}
10:46:39.984 [main] DEBUG com.polestar.ndcrefill.Main - {"creation_date":"2022-06-04","creation_time":"16:18:18","trail_date":"2022-06-04","trail_time":"16:16:00","trail_latitude":"36.768","trail_longitude":"3.103333333","trail_speed":"0.2","trail_heading":"295","i_m_o_number":"9809045","DC_ID":"1002"}
10:46:39.984 [main] DEBUG com.polestar.ndcrefill.Main - {"creation_date":"2022-06-04","creation_time":"10:18:13","trail_date":"2022-06-04","trail_time":"10:16:00","trail_latitude":"36.93866667","trail_longitude":"2.436666667","trail_speed":"14.2","trail_heading":"90","i_m_o_number":"9809045","DC_ID":"1002"}
