10:55:53.522 [main] INFO  com.polestar.ndcrefill.Main - starting app
10:55:53.889 [main] INFO  com.polestar.ndcrefill.Main - Starting count in shipposition table: 154362
10:55:53.921 [main] INFO  com.polestar.ndcrefill.Main - ShipPosition Generator Value: 3134
10:55:53.979 [main] INFO  com.polestar.ndcrefill.Main - max ship position id is: 156670 Current shipPositionID: 170000
10:55:53.979 [main] INFO  com.polestar.ndcrefill.FileService - starting to process file
10:55:54.280 [main] INFO  com.polestar.ndcrefill.FileService - Positions count: 68
10:55:54.281 [main] INFO  com.polestar.ndcrefill.Main - Start: 2022-06-08 10:55:54.281
10:55:54.290 [main] DEBUG com.polestar.ndcrefill.Main - {"creation_date":"2022-06-05","creation_time":"23:00:29","trail_date":"2022-06-05","trail_time":"22:58:00","trail_latitude":"7.416666667","trail_longitude":"115.6433333","trail_speed":"17","trail_heading":"221","i_m_o_number":"9210828","DC_ID":"1019"}
10:55:54.291 [main] DEBUG com.polestar.ndcrefill.Main - {"creation_date":"2022-06-05","creation_time":"17:00:29","trail_date":"2022-06-05","trail_time":"16:58:00","trail_latitude":"8.712666667","trail_longitude":"116.7193333","trail_speed":"16.6","trail_heading":"221","i_m_o_number":"9210828","DC_ID":"1019"}
10:55:54.292 [main] DEBUG com.polestar.ndcrefill.Main - {"creation_date":"2022-06-05","creation_time":"11:02:11","trail_date":"2022-06-05","trail_time":"10:58:00","trail_latitude":"10.01866667","trail_longitude":"117.768","trail_speed":"16.2","trail_heading":"218","i_m_o_number":"9210828","DC_ID":"1019"}
10:55:54.292 [main] DEBUG com.polestar.ndcrefill.Main - {"creation_date":"2022-06-05","creation_time":"05:01:20","trail_date":"2022-06-05","trail_time":"04:58:00","trail_latitude":"11.534","trail_longitude":"118.3093333","trail_speed":"16.6","trail_heading":"191","i_m_o_number":"9210828","DC_ID":"1019"}
10:55:54.293 [main] DEBUG com.polestar.ndcrefill.Main - {"creation_date":"2022-06-04","creation_time":"17:00:29","trail_date":"2022-06-04","trail_time":"16:58:00","trail_latitude":"14.798","trail_longitude":"118.9966667","trail_speed":"16.4","trail_heading":"192","i_m_o_number":"9210828","DC_ID":"1019"}
10:55:54.294 [main] DEBUG com.polestar.ndcrefill.Main - {"creation_date":"2022-06-05","creation_time":"18:56:31","trail_date":"2022-06-05","trail_time":"18:54:00","trail_latitude":"1.720666667","trail_longitude":"104.66","trail_speed":"0","trail_heading":"121","i_m_o_number":"7347768","DC_ID":"1019"}
10:55:54.295 [main] DEBUG com.polestar.ndcrefill.Main - {"creation_date":"2022-06-05","creation_time":"12:56:29","trail_date":"2022-06-05","trail_time":"12:54:00","trail_latitude":"1.719333333","trail_longitude":"104.662","trail_speed":"0.2","trail_heading":"121","i_m_o_number":"7347768","DC_ID":"1019"}
10:55:54.296 [main] DEBUG com.polestar.ndcrefill.Main - {"creation_date":"2022-06-05","creation_time":"06:56:12","trail_date":"2022-06-05","trail_time":"06:54:00","trail_latitude":"1.72","trail_longitude":"104.6613333","trail_speed":"0","trail_heading":"121","i_m_o_number":"7347768","DC_ID":"1019"}
10:55:54.296 [main] DEBUG com.polestar.ndcrefill.Main - {"creation_date":"2022-06-05","creation_time":"00:56:10","trail_date":"2022-06-05","trail_time":"00:54:00","trail_latitude":"1.72","trail_longitude":"104.6593333","trail_speed":"0","trail_heading":"121","i_m_o_number":"7347768","DC_ID":"1019"}
10:55:54.297 [main] DEBUG com.polestar.ndcrefill.Main - {"creation_date":"2022-06-04","creation_time":"18:56:19","trail_date":"2022-06-04","trail_time":"18:54:00","trail_latitude":"1.720666667","trail_longitude":"104.66","trail_speed":"0","trail_heading":"129","i_m_o_number":"7347768","DC_ID":"1019"}
10:55:54.298 [main] DEBUG com.polestar.ndcrefill.Main - {"creation_date":"2022-06-04","creation_time":"12:56:28","trail_date":"2022-06-04","trail_time":"12:54:00","trail_latitude":"1.719333333","trail_longitude":"104.6613333","trail_speed":"0.2","trail_heading":"129","i_m_o_number":"7347768","DC_ID":"1019"}
